rel_path,size_mb,h5py_open,is_symlink,error,total_items,has_posterior,has_ringdown,has_strain
tiger\tiger\GW240925_cal\tiger_GW240925_dchi_6.h5,0,False,True,Symlink: \home\tgr.o4\GW240925_GW250207\TIGER\GW240925_cal\dchi_6\samples\tiger_GW240925_dchi_6.h5,0,False,False,False
tiger\tiger\GW240925_cal\tiger_GW240925_dchi_6l.h5,0,False,True,Symlink: \home\tgr.o4\GW240925_GW250207\TIGER\GW240925_cal\dchi_6l\samples\tiger_GW240925_dchi_6l.h5,0,False,False,False
tiger\tiger\GW240925_cal\tiger_GW240925_dchi_7.h5,0,False,True,Symlink: \home\tgr.o4\GW240925_GW250207\TIGER\GW240925_cal\dchi_7\samples\tiger_GW240925_dchi_7.h5,0,False,False,False
tiger\tiger\GW240925_cal\tiger_GW240925_dchi_minus2.h5,0,False,True,Symlink: \home\tgr.o4\GW240925_GW250207\TIGER\GW240925_cal\dchi_minus2\samples\tiger_GW240925_dchi_minus2.h5,0,False,False,False
tiger\tiger\GW240925_cal\tiger_GW240925_dc_1.h5,0,False,True,Symlink: \home\tgr.o4\GW240925_GW250207\TIGER\GW240925_cal\dc_1\samples\tiger_GW240925_dc_1.h5,0,False,False,False
tiger\tiger\GW240925_cal\tiger_GW240925_dc_2.h5,0,False,True,Symlink: \home\tgr.o4\GW240925_GW250207\TIGER\GW240925_cal\dc_2\samples\tiger_GW240925_dc_2.h5,0,False,False,False
tiger\tiger\GW240925_cal\tiger_GW240925_dc_4.h5,0,False,True,Symlink: \home\tgr.o4\GW240925_GW250207\TIGER\GW240925_cal\dc_4\samples\tiger_GW240925_dc_4.h5,0,False,False,False
tiger\tiger\GW240925_cal\tiger_GW240925_dc_l.h5,0,False,True,Symlink: \home\tgr.o4\GW240925_GW250207\TIGER\GW240925_cal\dc_l\samples\tiger_GW240925_dc_l.h5,0,False,False,False
tiger\tiger\GW240925_no_cal\tiger_GW240925_db_1.h5,0,False,True,Symlink: \home\tgr.o4\GW240925_GW250207\TIGER\GW240925_no_cal\db_1\samples\tiger_GW240925_db_1.h5,0,False,False,False
tiger\tiger\GW240925_no_cal\tiger_GW240925_db_2.h5,0,False,True,Symlink: \home\tgr.o4\GW240925_GW250207\TIGER\GW240925_no_cal\db_2\samples\tiger_GW240925_db_2.h5,0,False,False,False
tiger\tiger\GW240925_no_cal\tiger_GW240925_db_3.h5,0,False,True,Symlink: \home\tgr.o4\GW240925_GW250207\TIGER\GW240925_no_cal\db_3\samples\tiger_GW240925_db_3.h5,0,False,False,False
tiger\tiger\GW240925_no_cal\tiger_GW240925_db_4.h5,0,False,True,Symlink: \home\tgr.o4\GW240925_GW250207\TIGER\GW240925_no_cal\db_4\samples\tiger_GW240925_db_4.h5,0,False,False,False
tiger\tiger\GW240925_no_cal\tiger_GW240925_dchi_0.h5,0,False,True,Symlink: \home\tgr.o4\GW240925_GW250207\TIGER\GW240925_no_cal\dchi_0\samples\tiger_GW240925_dchi_0.h5,0,False,False,False
tiger\tiger\GW240925_no_cal\tiger_GW240925_dchi_1.h5,0,False,True,Symlink: \home\tgr.o4\GW240925_GW250207\TIGER\GW240925_no_cal\dchi_1\samples\tiger_GW240925_dchi_1.h5,0,False,False,False
tiger\tiger\GW240925_no_cal\tiger_GW240925_dchi_2.h5,0,False,True,Symlink: \home\tgr.o4\GW240925_GW250207\TIGER\GW240925_no_cal\dchi_2\samples\tiger_GW240925_dchi_2.h5,0,False,False,False
tiger\tiger\GW240925_no_cal\tiger_GW240925_dchi_3.h5,0,False,True,Symlink: \home\tgr.o4\GW240925_GW250207\TIGER\GW240925_no_cal\dchi_3\samples\tiger_GW240925_dchi_3.h5,0,False,False,False
tiger\tiger\GW240925_no_cal\tiger_GW240925_dchi_4.h5,0,False,True,Symlink: \home\tgr.o4\GW240925_GW250207\TIGER\GW240925_no_cal\dchi_4\samples\tiger_GW240925_dchi_4.h5,0,False,False,False
tiger\tiger\GW240925_no_cal\tiger_GW240925_dchi_5l.h5,0,False,True,Symlink: \home\tgr.o4\GW240925_GW250207\TIGER\GW240925_no_cal\dchi_5l\samples\tiger_GW240925_dchi_5l.h5,0,False,False,False
tiger\tiger\GW240925_no_cal\tiger_GW240925_dchi_6.h5,0,False,True,Symlink: \home\tgr.o4\GW240925_GW250207\TIGER\GW240925_no_cal\dchi_6\samples\tiger_GW240925_dchi_6.h5,0,False,False,False
tiger\tiger\GW240925_no_cal\tiger_GW240925_dchi_6l.h5,0,False,True,Symlink: \home\tgr.o4\GW240925_GW250207\TIGER\GW240925_no_cal\dchi_6l\samples\tiger_GW240925_dchi_6l.h5,0,False,False,False
tiger\tiger\GW240925_no_cal\tiger_GW240925_dchi_7.h5,0,False,True,Symlink: \home\tgr.o4\GW240925_GW250207\TIGER\GW240925_no_cal\dchi_7\samples\tiger_GW240925_dchi_7.h5,0,False,False,False
tiger\tiger\GW240925_no_cal\tiger_GW240925_dchi_minus2.h5,0,False,True,Symlink: \home\tgr.o4\GW240925_GW250207\TIGER\GW240925_no_cal\dchi_minus2\samples\tiger_GW240925_dchi_minus2.h5,0,False,False,False
tiger\tiger\GW240925_no_cal\tiger_GW240925_dc_1.h5,0,False,True,Symlink: \home\tgr.o4\GW240925_GW250207\TIGER\GW240925_no_cal\dc_1\samples\tiger_GW240925_dc_1.h5,0,False,False,False
tiger\tiger\GW240925_no_cal\tiger_GW240925_dc_2.h5,0,False,True,Symlink: \home\tgr.o4\GW240925_GW250207\TIGER\GW240925_no_cal\dc_2\samples\tiger_GW240925_dc_2.h5,0,False,False,False
tiger\tiger\GW240925_no_cal\tiger_GW240925_dc_4.h5,0,False,True,Symlink: \home\tgr.o4\GW240925_GW250207\TIGER\GW240925_no_cal\dc_4\samples\tiger_GW240925_dc_4.h5,0,False,False,False
tiger\tiger\GW240925_no_cal\tiger_GW240925_dc_l.h5,0,False,True,Symlink: \home\tgr.o4\GW240925_GW250207\TIGER\GW240925_no_cal\dc_l\samples\tiger_GW240925_dc_l.h5,0,False,False,False
tiger\tiger\GW250207_cal\tiger_GW250207_db_1.h5,0,False,True,Symlink: \home\tgr.o4\GW240925_GW250207\TIGER\GW250207_cal\db_1\samples\tiger_GW250207_db_1.h5,0,False,False,False
tiger\tiger\GW250207_cal\tiger_GW250207_db_2.h5,0,False,True,Symlink: \home\tgr.o4\GW240925_GW250207\TIGER\GW250207_cal\db_2\samples\tiger_GW250207_db_2.h5,0,False,False,False
tiger\tiger\GW250207_cal\tiger_GW250207_db_3.h5,0,False,True,Symlink: \home\tgr.o4\GW240925_GW250207\TIGER\GW250207_cal\db_3\samples\tiger_GW250207_db_3.h5,0,False,False,False
tiger\tiger\GW250207_cal\tiger_GW250207_db_4.h5,0,False,True,Symlink: \home\tgr.o4\GW240925_GW250207\TIGER\GW250207_cal\db_4\samples\tiger_GW250207_db_4.h5,0,False,False,False
tiger\tiger\GW250207_cal\tiger_GW250207_dchi_0.h5,0,False,True,Symlink: \home\tgr.o4\GW240925_GW250207\TIGER\GW250207_cal\dchi_0\samples\tiger_GW250207_dchi_0.h5,0,False,False,False
tiger\tiger\GW250207_cal\tiger_GW250207_dchi_1.h5,0,False,True,Symlink: \home\tgr.o4\GW240925_GW250207\TIGER\GW250207_cal\dchi_1\samples\tiger_GW250207_dchi_1.h5,0,False,False,False
tiger\tiger\GW250207_cal\tiger_GW250207_dchi_2.h5,0,False,True,Symlink: \home\tgr.o4\GW240925_GW250207\TIGER\GW250207_cal\dchi_2\samples\tiger_GW250207_dchi_2.h5,0,False,False,False
tiger\tiger\GW250207_cal\tiger_GW250207_dchi_3.h5,0,False,True,Symlink: \home\tgr.o4\GW240925_GW250207\TIGER\GW250207_cal\dchi_3\samples\tiger_GW250207_dchi_3.h5,0,False,False,False
tiger\tiger\GW250207_cal\tiger_GW250207_dchi_4.h5,0,False,True,Symlink: \home\tgr.o4\GW240925_GW250207\TIGER\GW250207_cal\dchi_4\samples\tiger_GW250207_dchi_4.h5,0,False,False,False
tiger\tiger\GW250207_cal\tiger_GW250207_dchi_5l.h5,0,False,True,Symlink: \home\tgr.o4\GW240925_GW250207\TIGER\GW250207_cal\dchi_5l\samples\tiger_GW250207_dchi_5l.h5,0,False,False,False
tiger\tiger\GW250207_cal\tiger_GW250207_dchi_6.h5,0,False,True,Symlink: \home\tgr.o4\GW240925_GW250207\TIGER\GW250207_cal\dchi_6\samples\tiger_GW250207_dchi_6.h5,0,False,False,False
